"sid","recommend_mode"
"1112456","6"
"1413458","3"
"1243160","3"
"2040494","3"
"1448779","3"
"1141424","6"
"1436593","3"
"465869","3"
"1442656","3"
"1403431","3"
"1369074","6"
"1397078","3"
"1135424","6"
"1416031","3"
"1145904","3"
"460485","3"
"1269300","3"
"1135437","3"
"1384751","3"
"1142231","3"
"1393603","3"
"1277625","3"
"453500","3"
"1262707","3"
"2037259","3"
"1435935","3"
"1338630","3"
"451103","3"
"1445538","3"
"1338897","3"
"1107120","3"
"1342861","3"
"1270278","3"
"427878","3"
"2048357","6"
"1395047","3"
"1390537","3"
"1408746","3"
"1433975","1"
"456122","3"
"1417026","3"
"465774","3"
"1430137","3"
"1112236","3"
"445584","3"
"1347511","3"
"451194","3"
"1408572","3"
"1447711","3"
"1382724","3"
"1143766","3"
"1436135","6"
"1251639","3"
"1343053","3"
"1446615","6"
"420810","3"
"1128469","3"
"1392923","3"
"426636","3"
"458067","3"
"1108148","6"
"1393402","3"
"1439702","3"
"1352648","3"
"1394626","6"
"1272717","6"
"1418750","3"
"1347553","3"
"1117018","3"
"1424060","3"
"460320","6"
"1334983","3"
"1278522","3"
"422268","3"
"1283188","6"
"1132209","6"
"1400260","3"
"1135480","3"
"462436","3"
"2053939","3"
"1402544","3"
"469378","3"
"1134986","3"
"1112590","3"
"2064487","3"
"1378890","3"
"1250216","3"
"1387850","3"
"2055497","3"
"2071540","3"
"1426047","3"
"1123415","3"
"1368583","3"
"1409865","3"
"1285696","3"
"1242521","3"
"1260575","3"
"1281092","3"
"1434210","6"
"1417009","3"
"1382477","3"
"1272738","3"
"2047306","3"
"1443751","3"
"433088","3"
"425526","3"
"457254","3"
"1444244","3"
"1418355","3"
"1382485","3"
"1351004","6"
"1142332","6"
"2072196","3"
"1434441","3"
"422979","3"
"1274890","3"
"1110403","6"
"1371513","3"
"1427534","3"
"1334757","3"
"1115190","6"
"1125395","7"
"2054453","6"
"1415625","3"
"1276549","6"
"1330826","3"
"1341613","3"
"1363866","3"
"1128472","3"
"2064420","3"
"1407704","3"
"1248617","3"
"1125727","3"
"422446","3"
"1330358","3"
"444139","3"
"453202","3"
"426498","6"
"1378384","3"
"1384648","3"
"1442491","3"
"2065021","3"
"1368691","3"
"461111","3"
"1429804","3"
"1283859","3"
"427919","3"
"1121210","3"
"2066468","6"
"2062845","3"
"1136751","6"
"2045297","3"
"1261744","3"
"2066441","3"
"1398996","3"
"1419447","3"
"1129687","3"
"1272503","3"
"1416475","3"
"1446102","3"
"2043955","3"
"1253011","3"
"420953","3"
"1144132","3"
"1348973","3"
"1426551","3"
"1430806","3"
"1365855","3"
"443077","3"
"459100","3"
"1435694","3"
"1421199","3"
"470672","3"
"2041924","3"
"1364713","3"
"1372343","3"
"1245325","3"
"1109603","3"
"1121250","3"
"2079357","3"
"465391","3"
"1386429","3"
"1445999","3"
"1256891","3"
"1264762","3"
"1399500","3"
"449192","3"
"2048777","3"
"1419787","3"
"1272783","3"
"1376605","6"
"1346539","6"
"1404697","6"
"438292","3"
"464507","3"
"1280589","6"
"1376327","3"
"1345136","3"
"2035549","3"
"1397509","3"
"1412043","3"
"1118576","3"
"461489","3"
"1342190","3"
"1366053","3"
"1271415","3"
"1342214","3"
"1416075","3"
"1360169","6"
"1366422","3"
"1341049","3"
"1407107","3"
"1107921","3"
"1246071","3"
"2064680","3"
"1448427","6"
"1434209","3"
"1259041","3"
"1341244","3"
"1131954","3"
"1401666","6"
"1127479","3"
"1377938","3"
"1126829","6"
"1388580","3"
"2063160","3"
"466877","3"
"1336117","3"
"1281431","3"
"1123296","3"
"1403493","3"
"437122","3"
"461562","3"
"2059022","3"
"2055458","3"
"1429285","3"
"1346112","6"
"469627","3"
"428923","3"
"1242597","3"
"1136254","6"
"1410363","3"
"1271925","3"
"1361503","3"
"2066567","3"
"1262115","3"
"1133383","3"
"1253951","6"
"1269145","5"
"428915","3"
"2054056","3"
"439307","3"
"1243698","6"
"1245858","6"
"1143220","3"
"1120424","3"
"1377223","6"
"455717","3"
"1350181","3"
"441969","3"
"1391165","3"
"432431","3"
"1269987","3"
"1383508","3"
"1367843","3"
"1276281","3"
"1260046","3"
"1376445","6"
"1267770","3"
"1346498","3"
"449699","3"
"459503","3"
"432926","3"
"1114251","3"
"1377741","3"
"2070944","3"
"1337534","3"
"424980","3"
"1134437","3"
"433448","3"
"1414552","3"
"1410283","3"
"1256181","3"
"1425378","3"
"1449071","6"
"2067628","3"
"1398089","3"
"1430477","3"
"1404579","3"
"1251201","3"
"1264226","3"
"1438165","3"
"1371273","3"
"1347976","6"
"1393349","3"
"1264262","3"
"1134580","6"
"1112928","3"
"1125227","3"
"1400476","3"
"1271837","3"
"1418818","3"
"1275848","3"
"1284727","3"
"1412021","3"
"1116759","6"
"1425173","3"
"1343297","3"
"1260452","3"
"451315","3"
"1273202","3"
"1335329","3"
"1368717","3"
"2061320","3"
"2036100","3"
"1391227","3"
"1399658","3"
"1264333","3"
"1140149","3"
"1116882","6"
"1385077","3"
"1398887","3"
"1364017","3"
"1403231","3"
"1131688","3"
"1412274","3"
"1359452","3"
"1141377","3"
"1123363","3"
"1343659","6"
"1141807","3"
"1116888","3"
"434222","3"
"427189","5"
"1259932","3"
"429740","3"
"1256568","3"
"460989","3"
"1262723","6"
"1116460","3"
"1275562","6"
"1262429","3"
"1110998","3"
"465764","3"
"1428642","3"
"1245494","3"
"1377107","3"
"1281049","3"
"1279652","3"
"1372987","3"
"1124333","3"
"1421159","3"
"1251021","6"
"1337384","3"
"1428785","3"
"1390400","3"
"1413928","3"
"2080703","6"
"1390794","3"
"1329658","3"
"1388877","3"
"1408110","3"
"1273516","3"
"1267666","3"
"1344892","3"
"1126620","3"
"1124960","3"
"1120137","3"
"1341952","3"
"460853","3"
"2070974","3"
"464290","3"
"1333394","3"
"1341754","3"
"2040621","3"
"433466","6"
"1127231","6"
"1282915","3"
"437853","3"
"1131309","3"
"1396935","3"
"2041449","3"
"1276195","3"
"460303","3"
"1420459","6"
"1420786","3"
"1356230","3"
"1445453","6"
"421861","6"
"428880","6"
"1413815","3"
"1397049","3"
"422463","3"
"1378028","3"
"437361","5"
"1391136","3"
"1141870","3"
"1248734","3"
"1255531","3"
"1145200","3"
"1367180","3"
"452684","3"
"1264140","6"
"1416858","6"
"459747","3"
"1412053","3"
"1249257","3"
"1396761","3"
"425877","3"
"1361960","3"
"1387805","3"
"1119428","3"
"1433468","3"
"423677","3"
"1415643","3"
"469433","3"
"1379630","3"
"1252619","6"
"1276797","3"
"1269678","3"
"1126543","3"
"1396411","3"
"1442602","6"
"1396196","3"
"1132597","3"
"1379268","6"
"1380591","3"
"1399041","3"
"471571","3"
"1399287","3"
"1364295","3"
"1422541","3"
"445932","3"
"1356046","3"
"1431563","3"
"1396338","3"
"1430514","3"
"422447","3"
"1372382","3"
"2063306","3"
"444505","3"
"1112543","3"
"1427220","3"
"420746","3"
"1338840","3"
"1384327","3"
"1256941","3"
"1256776","3"
"2039907","3"
"1420294","3"
"1106573","6"
"1128523","3"
"1419496","3"
"1448339","6"
"1353265","6"
"1333237","3"
"1395210","3"
"1364894","2"
"1280356","3"
"1359268","3"
"1112568","6"
"1427748","3"
"1365560","3"
"1276403","3"
"2073906","3"
"1357530","3"
"1386378","3"
"1246941","2"
"1251258","3"
"458845","3"
"1342384","3"
"1386681","3"
"1259544","3"
"1392414","3"
"1271226","3"
"2043221","3"
"420627","6"
"1390922","3"
"1348634","3"
"437616","3"
"1399659","3"
"1123242","3"
"440353","3"
"458561","6"
"2037078","3"
"1414304","3"
"437146","3"
"434083","3"
"1248446","3"
"1270602","3"
"441345","3"
"428803","3"
"1284656","3"
"1138605","3"
"1429689","3"
"1248313","3"
"1268091","3"
"448624","3"
"1256404","6"
"435865","3"
"1365853","3"
"1379690","6"
"1276299","3"
"1141114","3"
"1416939","3"
"1340627","3"
"1280465","3"
"441468","3"
"1423689","6"
"1430159","3"
"1329359","3"
"453824","3"
"1437344","3"
"1246103","3"
"2044471","6"
"425135","3"
"1270181","3"
"1347150","3"
"2063216","6"
"2052126","3"
"1355199","3"
"1243547","3"
"1346011","3"
"453305","3"
"2060259","3"
"1144164","3"
"1261768","3"
"1387111","3"
"450640","3"
"2060671","3"
"1407736","3"
"1435033","3"
"1395327","3"
"1266661","3"
"1111453","3"
"1143272","3"
"466381","3"
"1111170","3"
"1121451","6"
"2042390","3"
"1127632","3"
"1385389","3"
"427397","3"
"1128645","3"
"1403068","3"
"1140441","3"
"1358909","3"
"1401008","6"
"1376486","3"
"1383293","3"
"458665","3"
"1146179","3"
"1120041","3"
"1332753","3"
"1107509","3"
"1275208","3"
"1389882","3"
"434305","3"
"2077897","3"
"1245876","6"
"1334686","3"
"1444487","3"
"1436078","3"
"1256278","2"
"2074556","3"
"1271876","3"
"1263402","6"
"452505","3"
"470816","3"
"1275762","3"
"1423410","3"
"1356855","3"
"447162","3"
"1141343","3"
"428216","3"
"1418054","3"
"1135593","6"
"1254081","3"
"457203","3"
"1272903","3"
"1265331","3"
"1360111","3"
"1399728","3"
"1349283","3"
"469640","3"
"1400348","3"
"1442178","3"
"1406553","6"
"1351246","3"
"1265137","3"
"1415537","9"
"1444758","3"
"1349727","3"
"2080982","3"
"1246205","3"
"1426664","3"
"1441588","3"
"1425611","5"
"1282875","6"
"469906","3"
"1363625","3"
"1245911","3"
"2044965","3"
"460542","3"
"1124451","3"
"1262155","3"
"1110242","6"
"1430813","3"
"1354474","3"
"1386980","6"
"430543","3"
"1122705","3"
"1126030","3"
"1421666","3"
"1376707","3"
"1433756","3"
"1145290","3"
"1279015","3"
"1374229","3"
"1358254","3"
"427906","3"
"1137686","7"
"1422563","3"
"1270600","3"
"1444290","6"
"1390596","3"
"1131847","3"
"454588","3"
"1409255","3"
"1446085","3"
"1281733","6"
"1394723","3"
"1400585","3"
"1428367","3"
"1446390","3"
"1281160","3"
"1445822","3"
"1378642","3"
"2076319","3"
"2079009","6"
"1354832","3"
"1343602","3"
"1391603","3"
"2052403","3"
"1275608","3"
"1377093","3"
"2077135","3"
"1394183","3"
"434794","3"
"1279183","3"
"1374218","3"
"459666","3"
"423810","3"
"1348540","3"
"1414319","3"
"471538","3"
"1275422","3"
"1263876","3"
"1114141","3"
"1136259","3"
"1435540","3"
"1265377","3"
"1144655","7"
"1436877","3"
"437930","3"
"1385684","3"
"1409139","3"
"1440009","3"
"1108407","6"
"1375106","6"
"1271658","3"
"1448119","3"
"1341537","3"
"449188","3"
"427672","3"
"445531","3"
"1362000","3"
"1133282","3"
"1409367","3"
"1106494","3"
"428424","3"
"433835","3"
"1347838","3"
"1283331","6"
"442042","3"
"1400741","3"
"1413742","3"
"428413","3"
"1446272","3"
"1145073","3"
"420888","3"
"445498","3"
"449158","3"
"1441059","3"
"1110835","3"
"1276172","3"
"1421175","6"
"1384190","3"
"1342768","6"
"2046340","3"
"1355060","3"
"454076","3"
"1333430","3"
"1353385","3"
"1435632","3"
"1406212","3"
"1260747","3"
"1351719","3"
"1430181","3"
"421700","3"
"1257067","3"
"1107413","6"
"2055234","3"
"1379124","5"
"1415465","3"
"1444011","3"
"1425244","6"
"1136354","3"
"1364228","3"
"1276540","3"
"1373700","3"
"1244727","3"
"1428992","6"
"1266090","3"
"1130784","6"
"1403079","3"
"458532","3"
"1387276","3"
"1376072","6"
"1441009","3"
"1411095","3"
"1247328","3"
"444780","3"
"1412272","6"
"2049907","3"
"1436210","3"
"1108639","3"
"1127249","3"
"440160","3"
"1381873","3"
"425188","3"
"1408948","3"
"460993","3"
"1140750","3"
"1391478","3"
"1358364","3"
"1248777","3"
"1371672","3"
"1280526","3"
"1369249","6"
"1442359","3"
"1254611","3"
"2058682","1"
"1402415","3"
"428482","3"
"437618","6"
"1257959","3"
"1441107","3"
"1405210","6"
"442048","3"
"1375085","3"
"2062724","3"
"1369683","3"
"464639","3"
"445125","3"
"2042585","3"
"2042431","3"
"1127344","6"
"1419139","3"
"1351315","3"
"2047982","6"
"1121983","6"
"2040561","3"
"1379829","6"
"2073117","3"
"1127886","3"
"425582","3"
"1120024","3"
"425862","3"
"1256612","3"
"1369678","3"
"1349291","3"
"1329601","3"
"2040652","3"
"1134632","3"
"1400900","3"
"1120030","3"
"1279446","3"
"465284","3"
"2075909","3"
"1285230","3"
"1371566","3"
"1140201","3"
"428233","3"
"1388105","3"
"1122235","3"
"1252097","3"
"2046744","3"
"1345922","3"
"1140950","3"
"1438422","3"
"1349320","3"
"471338","3"
"1110996","3"
"1114474","6"
"1341275","3"
"2067620","3"
"440123","6"
"451480","3"
"1389293","3"
"1378786","3"
"1334233","3"
"1445755","3"
"1445203","3"
"1284195","3"
"454678","6"
"1425412","3"
"438170","3"
"1365015","3"
"1284339","3"
"1424289","6"
"1115753","3"
"1426565","3"
"1391695","3"
"2042221","3"
"1366824","6"
"471119","3"
"1124888","3"
"1130924","3"
"466649","3"
"443688","3"
"1419926","3"
"1369758","3"
"1112872","3"
"1242625","3"
"1359122","3"
"1426361","5"
"1422625","3"
"447000","3"
"1356956","3"
"1341641","3"
"1425624","3"
"1415444","3"
"1343446","3"
"1138813","3"
"1350234","3"
"1424168","6"
"1138947","3"
"1409626","3"
"1108383","3"
"1134450","3"
"431080","6"
"1250498","3"
"1429200","3"
"2055965","3"
"457698","3"
"1371741","3"
"1434915","3"
"425097","3"
"450929","3"
"1330672","3"
"1361761","3"
"1256371","3"
"1363117","6"
"1394258","3"
"1438333","3"
"1417095","3"
"1142648","3"
"1113804","3"
"1376415","3"
"436394","3"
"2048600","6"
"1268235","3"
"1135310","3"
"457097","3"
"1367313","3"
"1440356","3"
"2043924","3"
"1135148","3"
"1394840","3"
"1373954","3"
"1276321","3"
"445736","3"
"1271399","2"
"1354445","3"
"2059055","3"
"1252225","3"
"1417479","3"
"452779","3"
"1130298","3"
"1269073","3"
"1420726","3"
"1282700","3"
"2075865","3"
"1269124","3"
"438285","3"
"463847","3"
"1279651","3"
"1339812","3"
"2042575","6"
"2075368","3"
"1343030","3"
"1438115","3"
"447669","6"
"423281","3"
"1248958","3"
"452880","3"
"1274946","3"
"1271375","3"
"1348826","6"
"1278603","6"
"1377186","3"
"1351333","3"
"1251255","3"
"1364888","2"
"2045886","3"
"445066","3"
"1249513","3"
"443643","3"
"1384872","3"
"1398455","3"
"2073365","6"
"1412397","3"
"1258975","3"
"2071910","3"
"1126730","2"
