"sid","recommend_mode"
"1112456","5"
"1413458","2"
"1243160","2"
"2040494","2"
"1448779","2"
"1141424","9"
"1436593","2"
"465869","2"
"1442656","2"
"1403431","2"
"1369074","5"
"1397078","2"
"1135424","1"
"1416031","2"
"1145904","2"
"460485","2"
"1269300","9"
"1135437","2"
"1384751","1"
"1142231","2"
"1393603","2"
"1277625","2"
"453500","1"
"1262707","1"
"2037259","2"
"1435935","2"
"1338630","2"
"451103","2"
"1445538","2"
"1338897","2"
"1107120","1"
"1342861","7"
"1270278","9"
"427878","2"
"2048357","5"
"1395047","1"
"1390537","1"
"1408746","7"
"1433975","2"
"456122","2"
"1417026","2"
"465774","2"
"1430137","5"
"1112236","2"
"445584","1"
"1347511","7"
"451194","1"
"1408572","9"
"1447711","7"
"1382724","9"
"1143766","7"
"1436135","1"
"1251639","9"
"1343053","7"
"1446615","7"
"420810","2"
"1128469","2"
"1392923","9"
"426636","9"
"458067","1"
"1108148","2"
"1393402","7"
"1439702","2"
"1352648","9"
"1394626","5"
"1272717","2"
"1418750","9"
"1347553","7"
"1117018","2"
"1424060","7"
"460320","5"
"1334983","2"
"1278522","1"
"422268","7"
"1283188","5"
"1132209","2"
"1400260","2"
"1135480","5"
"462436","2"
"2053939","2"
"1402544","2"
"469378","7"
"1134986","2"
"1112590","2"
"2064487","2"
"1378890","1"
"1250216","9"
"1387850","7"
"2055497","9"
"2071540","2"
"1426047","2"
"1123415","1"
"1368583","2"
"1409865","2"
"1285696","2"
"1242521","7"
"1260575","5"
"1281092","2"
"1434210","2"
"1417009","1"
"1382477","7"
"1272738","1"
"2047306","7"
"1443751","2"
"433088","9"
"425526","2"
"457254","2"
"1444244","5"
"1418355","2"
"1382485","2"
"1351004","9"
"1142332","5"
"2072196","5"
"1434441","2"
"422979","9"
"1274890","9"
"1110403","5"
"1371513","1"
"1427534","7"
"1334757","1"
"1115190","1"
"1125395","7"
"2054453","5"
"1415625","2"
"1276549","5"
"1330826","2"
"1341613","2"
"1363866","7"
"1128472","2"
"2064420","2"
"1407704","2"
"1248617","7"
"1125727","9"
"422446","7"
"1330358","1"
"444139","1"
"453202","2"
"426498","1"
"1378384","2"
"1384648","2"
"1442491","2"
"2065021","2"
"1368691","2"
"461111","2"
"1429804","1"
"1283859","1"
